Item,State_Name,Y2001,Y2002,Y2003,Y2004,Y2005,Y2006,Y2007,Y2008,Y2009,Y2010,Y2011,Y2012,Y2013,Y2014,Average_Annual_Percent_Growth
Personal Health Care (Millions of Dollars),Kentucky,18198,19746,20941,22410,23709,25217,26396,27282,28917,29995,31206,31960,33194,35323,6.2
Personal Health Care (Millions of Dollars),Louisiana,19207,20513,22229,23953,24866,25573,27532,29353,31253,32848,32765,33618,34639,36324,5.2
Personal Health Care (Millions of Dollars),Maine,6595,7231,7952,8644,9233,9760,10243,10725,11114,11338,11720,11961,12139,12684,6.2
Personal Health Care (Millions of Dollars),Maryland,24744,27120,29572,31821,33911,36747,39047,40931,43019,44847,46381,47792,48929,51330,6
Personal Health Care (Millions of Dollars),Massachusetts,36008,39320,42429,45069,47920,51637,55554,58260,61376,63153,64915,67055,68899,71274,5.7
Personal Health Care (Millions of Dollars),Michigan,42827,45585,48870,52684,55564,59457,62551,64824,67489,70336,73143,75507,76672,79874,5.2
Personal Health Care (Millions of Dollars),Minnesota,24408,26695,28765,30654,32417,34407,36648,37934,39720,41333,42618,43997,45865,48377,6.3
Personal Health Care (Millions of Dollars),Mississippi,11660,12621,13505,14708,15653,16826,18083,18931,19572,19729,20351,21995,22017,22879,6.3
Personal Health Care (Millions of Dollars),Missouri,25201,27551,29647,31341,32853,33959,37229,39643,41141,42659,44726,46743,47499,49137,5.9
Personal Health Care (Millions of Dollars),Montana,3816,4069,4409,4706,5107,5472,5868,6223,6594,6968,7285,7685,8108,8409,6.7
Personal Health Care (Millions of Dollars),Nebraska,7846,8422,9080,9789,10491,11300,11883,12540,13038,13769,14213,14808,15197,15823,6.4
Personal Health Care (Millions of Dollars),Nevada,7800,8899,9891,11029,11995,12991,14123,14907,15302,15652,16198,16588,17485,19020,8.2
Personal Health Care (Millions of Dollars),New Hampshire,5678,6114,6690,7395,8143,8809,9442,9967,10705,11149,11558,11954,12392,12742,6.9
Personal Health Care (Millions of Dollars),New Jersey,42382,46075,48847,51857,55670,58264,61598,63759,67653,68477,70263,73373,75148,79066,5.5
Personal Health Care (Millions of Dollars),New Mexico,6809,7406,7920,8764,9702,10316,11089,11896,12657,13294,13644,14109,14304,15027,6.6
Personal Health Care (Millions of Dollars),New York,104574,112615,122495,130033,135771,143635,150601,155573,164928,170644,175996,177908,183969,192809,5.4
Personal Health Care (Millions of Dollars),North Carolina,35823,38117,41272,45033,48395,52192,54832,57844,61730,63235,65703,68932,69157,72160,7
Personal Health Care (Millions of Dollars),North Dakota,3091,3398,3529,3791,4009,4269,4576,4892,5266,5615,6003,6303,6795,7289,6.5
Personal Health Care (Millions of Dollars),Ohio,53074,57585,62078,66341,70218,73333,76591,78831,84413,86841,88339,93242,95866,101013,5.5
Personal Health Care (Millions of Dollars),Oklahoma,14236,15214,16653,17525,19040,20416,21924,23357,24179,24993,26205,27386,28097,29575,6.1
Personal Health Care (Millions of Dollars),Oregon,14408,15455,16590,17967,19495,21077,22264,23390,24697,25824,26964,27757,29314,31920,7
Personal Health Care (Millions of Dollars),Pennsylvania,62608,66745,71938,76830,82123,86069,91040,94455,97553,103235,107458,110252,113459,118419,5.3
Personal Health Care (Millions of Dollars),Rhode Island,5485,5977,6456,6982,7497,7815,8196,8523,8843,9026,9243,9435,9646,10071,5.5
Personal Health Care (Millions of Dollars),South Carolina,17226,18686,20063,21635,23070,24640,26169,27894,29204,30382,31339,32351,33468,35299,6.6
Personal Health Care (Millions of Dollars),South Dakota,3319,3674,3956,4180,4564,4900,5208,5556,5919,6289,6649,6955,7221,7616,6.7
Personal Health Care (Millions of Dollars),Tennessee,25844,27251,29781,32645,34589,36229,38407,39387,40982,42117,43134,45222,46149,48249,6
Personal Health Care (Millions of Dollars),Texas,84023,92317,98066,104784,115264,123253,130965,139968,148903,155553,162296,170992,176341,188559,6.9
Personal Health Care (Millions of Dollars),Utah,7519,8392,9109,9951,10812,11570,12466,13287,13893,14350,15042,15830,16425,17597,7.2
Personal Health Care (Millions of Dollars),Vermont,2891,3181,3546,3803,4080,4319,4548,4758,5068,5314,5562,5827,6221,6389,7.1
Personal Health Care (Millions of Dollars),Virginia,27761,30500,33439,36469,39148,41911,44769,47819,51141,53048,55772,58535,60364,62847,6.5
Personal Health Care (Millions of Dollars),Washington,24968,27404,29710,31678,34101,36500,39595,42569,45589,47077,48567,51443,53022,55819,6.7
Personal Health Care (Millions of Dollars),West Virginia,8803,9494,10227,10960,11643,12258,12996,13482,14360,14760,15336,16270,16622,17491,5.9
Personal Health Care (Millions of Dollars),Wisconsin,25692,27691,29639,31881,34078,36475,38529,40442,42586,43867,45511,46158,47030,50109,6.2
Personal Health Care (Millions of Dollars),Wyoming,2112,2346,2512,2692,2922,3212,3501,3719,3903,4121,4289,4518,4639,4856,7
