Item,State_Name,Y2001,Y2002,Y2003,Y2004,Y2005,Y2006,Y2007,Y2008,Y2009,Y2010,Y2011,Y2012,Y2013,Y2014,Average_Annual_Percent_Growth
Medicaid/Personal Health Care (Millions of Dollars),Rhode Island,1270,1339,1355,1614,1650,1648,1569,1712,1780,1864,1897,1758,1802,2261,6.4
Medicaid/Personal Health Care (Millions of Dollars),South Carolina,2905,3167,3190,3810,3994,3868,3890,4322,4790,4856,4466,4488,4579,5061,6.3
Medicaid/Personal Health Care (Millions of Dollars),South Dakota,430,538,516,564,576,581,604,643,699,742,696,720,752,763,4.8
Medicaid/Personal Health Care (Millions of Dollars),Tennessee,5078,5394,5942,6589,6596,5509,6359,6469,6471,7397,7107,7670,7999,7655,7.2
Medicaid/Personal Health Care (Millions of Dollars),Texas,10784,12504,13814,15220,17107,16991,18903,20022,22884,25227,26478,25487,27026,30080,8.4
Medicaid/Personal Health Care (Millions of Dollars),Utah,839,956,1091,1208,1361,1395,1346,1425,1584,1601,1727,1830,1970,1920,6.9
Medicaid/Personal Health Care (Millions of Dollars),Vermont,583,643,702,774,857,892,990,969,1068,1113,1126,1222,1366,1390,8.6
Medicaid/Personal Health Care (Millions of Dollars),Virginia,3301,3157,3495,3741,4162,4321,4604,5048,5481,5997,6364,6373,6865,6834,7.2
Medicaid/Personal Health Care (Millions of Dollars),Washington,4182,4470,4824,4954,5282,5125,5463,5837,5977,6538,6715,7112,7297,9005,7.6
Medicaid/Personal Health Care (Millions of Dollars),West Virginia,1472,1572,1823,1978,2014,2045,2071,2110,2328,2422,2503,2724,2814,3249,7.2
Medicaid/Personal Health Care (Millions of Dollars),Wisconsin,3894,4339,4235,4268,4600,4352,4563,4699,6719,6229,6085,6512,6866,7329,6.3
Medicaid/Personal Health Care (Millions of Dollars),Wyoming,246,283,329,374,394,424,435,478,510,508,513,535,547,534,7.8
