Item,State_Name,Y2001,Y2002,Y2003,Y2004,Y2005,Y2006,Y2007,Y2008,Y2009,Y2010,Y2011,Y2012,Y2013,Y2014,Average_Annual_Percent_Growth
Population (Thousands),Massachusetts,6398,6417,6423,6412,6403,6410,6432,6469,6518,6566,6612,6658,6707,6750,0.5
Population (Thousands),Michigan,9991,10016,10041,10055,10051,10036,10001,9947,9902,9877,9876,9887,9899,9916,0.2
Population (Thousands),Minnesota,4983,5019,5054,5088,5120,5164,5207,5247,5281,5311,5349,5380,5419,5453,0.9
Population (Thousands),Mississippi,2853,2859,2868,2889,2906,2905,2928,2948,2959,2970,2978,2985,2990,2992,0.6
Population (Thousands),Missouri,5641,5675,5709,5748,5790,5843,5888,5924,5961,5996,6011,6025,6043,6061,0.7
Population (Thousands),Montana,907,912,920,930,940,953,965,976,984,991,998,1005,1014,1023,1
Population (Thousands),Nebraska,1720,1728,1739,1749,1761,1773,1783,1796,1813,1830,1842,1856,1869,1881,0.7
Population (Thousands),Nevada,2098,2174,2249,2346,2432,2523,2601,2654,2685,2703,2718,2753,2786,2833,3.5
Population (Thousands),New Hampshire,1256,1269,1280,1290,1298,1308,1313,1316,1316,1317,1318,1321,1323,1329,0.8
Population (Thousands),New Jersey,8493,8553,8601,8635,8652,8662,8678,8711,8756,8804,8841,8873,8899,8925,0.6
Population (Thousands),New Mexico,1832,1855,1878,1904,1932,1962,1990,2011,2037,2065,2078,2084,2085,2083,1.3
Population (Thousands),New York,19083,19138,19176,19172,19133,19105,19132,19212,19307,19403,19520,19603,19674,19719,0.4
Population (Thousands),North Carolina,8210,8326,8423,8553,8705,8917,9118,9309,9450,9559,9651,9746,9842,9934,1.7
Population (Thousands),North Dakota,639,638,639,645,646,649,653,658,665,675,685,702,724,740,0.7
Population (Thousands),Ohio,11387,11408,11435,11452,11463,11481,11500,11515,11529,11541,11545,11551,11570,11594,0.3
Population (Thousands),Oklahoma,3467,3489,3505,3525,3549,3594,3634,3669,3718,3760,3786,3817,3852,3877,0.9
Population (Thousands),Oregon,3468,3513,3547,3569,3613,3671,3722,3769,3809,3838,3868,3899,3926,3968,1.3
Population (Thousands),Pennsylvania,12299,12331,12375,12411,12450,12511,12564,12612,12667,12712,12744,12772,12781,12791,0.3
Population (Thousands),Rhode Island,1057,1066,1071,1075,1068,1063,1057,1055,1054,1053,1052,1053,1053,1054,0.2
Population (Thousands),South Carolina,4065,4108,4150,4211,4270,4358,4444,4529,4590,4636,4673,4721,4768,4828,1.3
Population (Thousands),South Dakota,758,760,764,770,775,783,792,799,807,816,824,834,845,853,0.8
Population (Thousands),Tennessee,5751,5796,5848,5911,5991,6089,6176,6247,6306,6357,6398,6454,6495,6545,1.2
Population (Thousands),Texas,21320,21690,22031,22394,22778,23360,23832,24309,24802,25244,25646,26072,26474,26945,1.9
Population (Thousands),Utah,2284,2325,2360,2402,2458,2526,2598,2663,2723,2775,2816,2856,2903,2942,2.2
Population (Thousands),Vermont,612,615,618,620,621,623,623,624,625,626,627,626,627,627,0.4
Population (Thousands),Virginia,7198,7287,7367,7476,7577,7674,7751,7833,7926,8026,8110,8192,8263,8317,1.2
Population (Thousands),Washington,5986,6052,6104,6179,6257,6371,6462,6562,6667,6743,6823,6895,6968,7054,1.5
Population (Thousands),West Virginia,1801,1805,1812,1816,1820,1828,1834,1840,1848,1854,1855,1857,1853,1849,0.1
Population (Thousands),Wisconsin,5407,5445,5479,5514,5546,5578,5611,5641,5669,5690,5710,5726,5743,5758,0.6
Population (Thousands),Wyoming,495,500,503,509,514,523,535,546,560,565,568,577,583,584,1
