Item,State_Name,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,Average_Annual_Percent_Growth
Private Health Insurance Enrollee Population (Thousands),Louisiana,2686,2708,2699,2633,2471,2400,2499,2463,2446,2389,2396,2415,2446,2497,-0.6
Private Health Insurance Enrollee Population (Thousands),Maine,891,876,870,861,864,893,900,869,823,817,817,816,803,827,-0.6
Private Health Insurance Enrollee Population (Thousands),Maryland,4187,4224,4158,4072,4047,4137,4072,4055,3943,3899,3942,3954,3961,3983,-0.4
Private Health Insurance Enrollee Population (Thousands),Massachusetts,4656,4713,4700,4631,4615,4628,4666,4765,4632,4502,4443,4515,4500,4452,-0.3
Private Health Insurance Enrollee Population (Thousands),Michigan,7787,7606,7581,7389,7404,7288,7214,6982,6591,6403,6357,6445,6426,6566,-1.3
Private Health Insurance Enrollee Population (Thousands),Minnesota,4051,4140,4042,4105,4055,3916,4049,3837,3741,3702,3679,3748,3741,3787,-0.5
Private Health Insurance Enrollee Population (Thousands),Mississippi,1667,1704,1658,1646,1581,1672,1559,1589,1501,1454,1460,1472,1454,1520,-0.7
Private Health Insurance Enrollee Population (Thousands),Missouri,4160,4224,4210,3899,3990,3962,3971,3918,3841,3769,3703,3698,3737,3795,-0.7
Private Health Insurance Enrollee Population (Thousands),Montana,610,612,579,589,614,611,626,630,610,634,610,596,610,644,0.4
Private Health Insurance Enrollee Population (Thousands),Nebraska,1296,1303,1298,1278,1311,1299,1272,1298,1238,1248,1234,1268,1269,1286,-0.1
Private Health Insurance Enrollee Population (Thousands),Nevada,1547,1443,1516,1615,1649,1651,1756,1693,1648,1604,1590,1614,1637,1694,0.7
Private Health Insurance Enrollee Population (Thousands),New Hampshire,1005,1016,1002,1009,1010,1006,1017,989,976,953,952,936,935,955,-0.4
Private Health Insurance Enrollee Population (Thousands),New Jersey,6391,6405,6334,6464,6480,6289,6115,6188,6022,5920,5860,5925,5821,5897,-0.6
Private Health Insurance Enrollee Population (Thousands),New Mexico,1006,1038,1013,1090,1093,1049,1053,1030,1000,1024,988,1025,969,996,-0.1
Private Health Insurance Enrollee Population (Thousands),New York,12459,12649,12512,12801,12754,12423,12133,12271,11913,11408,11302,11576,11406,11565,-0.6
Private Health Insurance Enrollee Population (Thousands),North Carolina,5461,5320,5211,5581,5571,5613,5740,5777,5589,5534,5548,5580,5627,5868,0.6
Private Health Insurance Enrollee Population (Thousands),North Dakota,467,481,480,476,477,457,472,469,474,488,489,502,521,547,1.2
Private Health Insurance Enrollee Population (Thousands),Ohio,8556,8664,8341,8265,8148,8190,8035,7863,7500,7332,7281,7324,7287,7296,-1.2
Private Health Insurance Enrollee Population (Thousands),Oklahoma,2210,2244,2130,2106,2159,2084,2111,2290,2239,2247,2253,2289,2300,2395,0.6
Private Health Insurance Enrollee Population (Thousands),Oregon,2469,2472,2402,2442,2461,2459,2529,2600,2477,2413,2401,2453,2437,2427,-0.1
Private Health Insurance Enrollee Population (Thousands),Pennsylvania,9462,9360,9179,8990,9264,9053,9094,8830,8623,8514,8406,8515,8488,8533,-0.8
Private Health Insurance Enrollee Population (Thousands),Rhode Island,776,756,752,729,751,753,737,723,688,664,669,662,658,654,-1.3
Private Health Insurance Enrollee Population (Thousands),South Carolina,2886,2699,2792,2635,2645,2668,2792,2834,2740,2678,2682,2715,2757,2829,-0.2
Private Health Insurance Enrollee Population (Thousands),South Dakota,581,566,557,531,552,549,585,561,529,552,543,550,541,569,-0.2
Private Health Insurance Enrollee Population (Thousands),Tennessee,3848,3850,3928,3693,3670,3797,3815,3605,3446,3399,3362,3486,3421,3506,-0.7
Private Health Insurance Enrollee Population (Thousands),Texas,13069,12479,12481,12977,13144,13351,13197,13186,12923,12805,12957,13274,13562,14373,0.7
Private Health Insurance Enrollee Population (Thousands),Utah,1690,1730,1805,1787,1766,1808,1953,2172,2159,2060,2104,2168,2200,2262,2.3
Private Health Insurance Enrollee Population (Thousands),Vermont,435,439,426,408,419,430,427,417,402,391,398,401,382,396,-0.7
Private Health Insurance Enrollee Population (Thousands),Virginia,5271,5169,5289,5352,5324,5362,5222,5392,5303,5267,5267,5375,5372,5468,0.3
Private Health Insurance Enrollee Population (Thousands),Washington,4322,4160,4111,4227,4403,4481,4566,4416,4289,4230,4238,4340,4338,4468,0.3
Private Health Insurance Enrollee Population (Thousands),West Virginia,1125,1080,1068,1101,1110,1112,1127,1156,1134,1127,1093,1129,1123,1108,-0.1
Private Health Insurance Enrollee Population (Thousands),Wisconsin,4249,4267,4072,4053,4098,4170,4128,4037,3873,3768,3703,3816,3768,3828,-0.8
Private Health Insurance Enrollee Population (Thousands),Wyoming,341,337,331,353,344,363,366,360,357,363,364,365,392,389,1
